manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
SB Acoustics,MR13PNW-4,4,41,0.23,0.25,2.8,19.4,3.3,0.11,70,5.4,,2.79,0.5,4.3,,,,6,,,,,91,,,,,,91,,127,132,,,,,,,,,,,,30.5,11,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MR13PNW-8,8,45,0.31,0.33,4.25,12.5,6.8,0.11,70,6,,1.86,0.4,6.1,,,,6,,,,,88,,,,,,88,,127,132,,,,,,,,,,,,30.5,11,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MR13TX-4,4,44,0.27,0.28,4.98,12.2,3.4,0.11,69,7.2,,1.81,0.4,4.9,,,,6,,,,,90,,,,,,90,,,,,,,,,,,,,,,30.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MR16P-8,8,32,0.3,0.32,5.11,44.3,6.2,0.11,119,10.6,,2.3,0.4,6.5,,,,6.2,,,,,88,,,,,,88,,,165,,,,,,,,,,,,35.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MR16PNW-4,4,31,0.25,0.26,4.85,47.2,3.2,0.11,119,11.2,,2.35,0.45,5.2,,,,6.2,,,,,91,,,,,,91,,165.1,165,,,,,,,,,,,,35.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MR16PNW-8,8,31,0.32,0.34,5.75,44.8,6.2,0.11,119,11.8,,2.23,0.4,6.5,,,,6.2,,,,,88.5,,,,,,88.5,,165.1,165,,,,,,,,,,,,35.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MR16TX-8,8,35,0.31,0.32,6.47,38.9,6.2,0.11,117,10.3,,2,0.35,6.6,,,,5.7,,,,,89,,,,,,89,,,,,,,,,,,,,,,35.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MT19CP-8,8,43,0.31,0.33,6.54,37.1,6.5,0.12,152,12.1,,1.13,0.5,8.05,,,,7.2,,,,,90,,,,,,90,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW13P-4,4,41,0.27,0.29,3.71,14.6,3.8,0.13,70,7.2,,2.09,0.5,4.9,,,,10,,,,,89,,,,,,89,,127,132,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW13P-8,8,41.5,0.3,0.33,3.55,15,6,0.15,70,6.8,,2.16,0.5,5.7,,,,10,,,,,87,,,,,,87,,,132,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW13PNW-4,4,41,0.27,0.29,3.71,14.6,3.8,0.13,70,7.2,,2.09,0.5,4.9,,,,10,,,,,89,,,,,,89,,127,132,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW13PNW-8,8,41.5,0.3,0.33,3.55,15,6,0.15,70,6.8,,2.16,0.5,5.7,,,,10,,,,,87,,,,,,87,,127,132,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW13TX-4,4,38,0.26,0.27,5.08,16,3.8,0.16,70,7.4,,2.38,0.3,5,,,,10,,,,,89,,,,,,89,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW13TX-8,8,40,0.32,0.34,4.99,14.8,6,0.18,70,7.3,,2.19,0.4,5.7,,,,10,,,,,87,,,,,,87,,127,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16P-12,12,30.6,0.37,0.4,4.81,47.3,10,0.19,119,11.5,,2.35,0.46,7.4,,,,12.4,,,,,85,,,,,,85,,,,,,,,,,,,,,,35.5,17.35,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16P-4,4,28,0.27,0.28,5,50.2,3.4,0.2,119,12.8,,2.5,0.45,5.2,,,,12,,,,,90.5,,,,,,90.5,,,165,,,,,,,,,,,,36,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16P-8,8,29,0.33,0.35,4.5,48,6.2,0.2,119,12.4,,2.4,0.5,6.3,,,,12,,,,,87.5,,,,,,87.5,,,165,,,,,,,,,,,,36,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16PNW-4,4,28,0.27,0.28,5,50.2,3.4,0.2,119,12.8,,2.5,0.45,5.2,,,,12,,,,,90.5,,,,,,90.5,,152.4,165,,,,,,,,,,,,36,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16PNW-8,8,29,0.33,0.35,4.5,48,6.2,0.2,119,12.4,,2.4,0.5,6.3,,,,12,,,,,87.5,,,,,,87.5,,152.4,165,,,,,,,,,,,,36,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16TX-4,4,29,0.27,0.29,5,48,3.4,0.15,119,12.6,,2.39,0.46,5.2,,,,12,,,,,90.5,,,,,,90.5,,165.1,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW16TX-8,8,29.3,0.33,0.35,4.7,48,6.2,0.2,119,12.3,,2.4,0.48,6.3,,,,12,,,,,87.5,,,,,,87.5,,165.1,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW19P-4,4,29,0.24,0.26,4.53,61,3.4,0.14,158,17.4,,1.73,0.7,6.5,,,,13.6,,,,,91.5,,70,,,,91.5,,190.5,187,,,101.4,,163,,,,,,,39,19.6,,6,,,,,187,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW19P-8,8,32.5,0.33,0.36,4.06,48,6,0.2,158,17.9,,1.35,0.9,7.8,,,,13.4,,,,,89,,,,,,89,,190.5,187,,,,,,,,,,,,39,19.4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW19PNW-4,4,32,0.28,0.3,4.11,48,3.4,0.14,158,18.4,,1.35,0.9,6.5,,,,13.6,,,,,91.5,,,,,,91.5,,,187,,,,,,,,,,,,39,19.6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW19PNW-8,8,32.5,0.33,0.36,4.06,48,6,0.2,158,17.9,,1.35,0.9,7.8,,,,13.4,,,,,89,,,,,,89,,,187,,,,,,,,,,,,39,19.4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW19TX-4,4,32,0.27,0.28,5.43,53.2,3.4,0.14,158,16.2,,1.52,0.6,6.3,,,,13.6,,,,,93,,,,,,93,,190.5,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,MW19TX-8,8,33,0.33,0.35,6.47,53.4,6,0.2,158,15.6,,1.52,0.5,7.5,,,,13.4,,,,,90,,,,,,90,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB10PGC21-4,4,89,0.92,1.01,11.2,1.2,3.4,0.15,27,2.8,,1.14,0.14,2.3,,,,4.5,,,,,84,,,,,,84,20000,,,,,,,,,,,,,,20.4,7.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12CACS25-04,4,51,0.31,0.33,4.89,5.7,3.1,0.26,50,6.1,,1.6,0.4,4.3,,,,10,,,,,88,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12CACS25-08,8,51,0.37,0.4,4.85,6.5,6.4,0.34,50,5.3,,1.84,0.35,5.2,,,,10,,,,,85.5,,,,,,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12CACS25-4,4,51,0.31,0.33,4.89,5.7,3.1,0.26,50,6.1,,1.6,0.4,4.3,,,,10,,,,,88,,,,,,88,,,123,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12CACS25-8,8,51,0.37,0.4,4.85,6.5,6.4,0.34,50,5.3,,1.84,0.35,5.2,,,,10,,,,,85.5,,,,,,85.5,,,123,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12MNRX2-25-04,,63.5,0.32,0.35,4.19,5.3,,0.15,50,4.2,,1.5,0.4,3.9,,,,4.4,,,,,90.5,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12MNRX2-25-4,4,58,0.27,0.29,3.6,6.3,3.2,0.15,50,4.1,,1.77,0.4,4.1,,,,4.4,,,,,91,,,,,,91,,,123,,,,,,,,,,,,25.4,9.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,sb12nrx25-04,4,55,0.4,0.46,3.2,5.6,3.1,0.14,50.3,,,1.57,,3.6,,,,10,,,,,87.5,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12NRX25-08,,57,0.37,0.41,4.1,5.3,,0.34,50,5.2,,1.49,0.45,5.4,,,,10,,,,,85.5,,,,,,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12NRX25-4,4,55,0.4,0.46,3.2,5.6,3.1,0.14,50,5.6,,1.57,0.6,3.6,,,,10,,,,,87.5,,,,,,87.5,,,123,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12NRX25-8,8,57,0.37,0.41,4.1,5.3,6.4,0.34,50,5.2,,1.49,0.45,5.4,,,,10,,,,,85.5,,,,,,85.5,,101.6,123,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12NRXF25-4,4,61,0.48,0.53,5.3,4.1,3.1,0.27,50,5.8,,1.17,0.42,3.6,,,,10,,,,,87,,,,,,87,,,123,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12NRXF25-8,8,63,0.42,0.46,5.4,4.2,6.4,0.34,50,5.5,,1.18,0.4,5.5,,,,10,,,,,85,,,,,,85,,,123,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PAC-00,,33,,,12.4,4.3,,,50,19.2,,1.21,0.32,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PAC25-4,4,52.5,0.31,0.33,5,5.3,3.1,0.25,50,6.1,,1.5,0.4,4.35,,,,10,,,,,87,,,,,,87,,,112.5,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PACR-00,,33,,,12.4,4.3,,,,19.2,,1.21,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PACR25-00,,33,,,12.4,4.3,,,50,19.2,,1.21,0.32,,,9,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PACR25-4,4,52.5,0.31,0.33,5,5.3,3.1,0.25,50,6.1,,1.5,0.4,4.35,,,,10,,,,,87,,,,,,87,,,,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PACR25-4,4,52.5,0.31,0.33,5,5.3,3.1,0.25,50,6.1,,1.5,0.4,4.35,,,,10,,,,,87,,,,,,87,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PACR25-4-COAX,4,55,0.35,0.38,4.84,4.3,3.1,0.25,45,5.6,,1.49,0.4,4,,,,10,,,,,87.5,,,,,,87.5,,,122,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,12.4,1.2,1.5,,,,,,,,,,,,,,,
SB Acoustics,SB12PFC-00,,34,,,12.5,4.2,,,50,18.8,,1.2,0.32,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PFC25-4,4,58,0.43,0.49,3.4,5.2,3.1,0.26,50,5.3,,1.47,0.6,3.5,,,,10,,,,,87.5,,,,,,87.5,,,,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PFC25-4-Coax,4,58,0.33,0.36,4.07,4.8,3.1,0.26,45,4.5,,1.66,0.4,3.8,,,,10,,,,,87,,,,,,87,,101.6,,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,12.4,1.2,1.5,,,,,,,,,,,,,,,
SB Acoustics,SB12PFC25R-08,,59,0.48,0.55,3.63,5.3,,0.36,50,4.9,,1.48,0.5,4.6,,,,10,,,,,84,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PFCR-00,,34,,,12.5,4.2,,,50,18.8,,1.2,0.32,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PFCR25-04,,58,0.43,0.49,3.4,5.2,,0.26,50,5.3,,1.42,0.6,3.5,,,,9.8,,,,,87.5,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PFCR25-4,4,58,0.43,0.49,3.4,5.2,3.1,0.26,50,5.3,,1.47,0.6,3.5,,,,10,,,,,87.5,,,,,,87.5,,,122,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB12PFCR25-4-COAX,4,58,0.33,0.36,4.07,4.8,3.1,0.26,45,4.5,,1.66,0.4,3.8,,,,10,,,,,87,,,,,,87,,,122,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,12.4,1.2,1.5,,,,,,,,,,,,,,,
SB Acoustics,SB12PFCR25-8,8,64,0.56,0.65,4.1,4.3,6.4,0.36,50,5.1,,1.21,0.5,4.5,,,,10,,,,,84.5,,,,,,84.5,,,122,,,,,,,,,,,,25.4,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFC25-08,8,45,0.33,0.39,2.2,13.4,5.6,0.77,87,10,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFC25-4,4,44,0.29,0.33,2.6,13.4,3.2,0.56,87,10.5,,1.25,1.1,5.3,,,,9,,,,,89,,,,,,89,,,,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFC25-4-Coax,4,43,0.27,0.3,2.26,14.4,3.2,0.3,82,9.1,,1.51,1.1,5.1,,,,9.3,,,,,90,,,,,,90,,127,,,,,,,,,,,,,25.4,14.3,,5,,,,,,,,,,12.4,1.2,1.5,,,,,,,,,,,,,,,
SB Acoustics,SB13PFC25-8,8,45,0.33,0.39,2.2,13.4,5.6,0.77,87,10,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFCR-00,,23,,,5.9,14.2,,,87,36,,1.33,0.88,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFCR25-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFCR25-08,,45,0.33,0.39,2.2,13.4,,0.77,87,10,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFCR25-4 COAX,4,43,0.27,0.3,2.26,14.4,3.2,0.3,82,9.1,,1.51,1.1,5.1,,,,9.3,,,,,90,,,,,,90,,,150.5,,,,,,,,,,,,25.4,14.3,,5,,,,,,,,,,12.4,1.2,1.5,,,,,,,,,,,,,,,
SB Acoustics,SB13PFCR25-8,8,45,0.33,0.39,2.2,13.4,5.6,0.77,87,10,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB13PFCR25-8,8,45,0.33,0.39,2.2,13.4,5.6,0.77,87,10,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB14ST-C000-4,4,1300,,,,,3,0.04,2.2,0.11,,,,0.92,,,,0.3,,,,,86,,,,,,86,,,24,,,,,,,,,,,,12.4,1.2,,1.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15BAC30-8COAX,8,43,0.36,0.39,4.8,17.5,5.7,0.13,80,7.1,,1.93,0.4,5.3,,,,6,,,,,86,,,,,,86,,,,,,,,,,,,,,,30.5,11,,5,,,,,,,,,,19.1,1.8,2.5,,,,,,,,,,,,,,,
SB Acoustics,SB15CAC30-4,4,32.5,0.31,0.34,4.61,20.2,3.1,0.12,82,11.3,,2.12,0.5,4.6,,,,10,,,,,88,,,,,,88,,,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15CAC30-8,8,35.5,0.38,0.42,4.77,17.9,5.7,0.14,82,10.7,,1.88,0.5,5.7,,,,10,,,,,86,,,,,,86,,127,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15CRC30-4,4,37,0.32,0.36,3.39,17.3,3.1,0.12,82,10.2,,1.81,0.7,4.55,,,,11,,,,,88.5,,,,,,88.5,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15CRC30-8,8,40,0.41,0.46,3.52,14.9,5.9,0.14,82,9.8,,1.62,0.7,5.6,,,,11,,,,,86,,,,,,86,,127,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15MFC30-4,4,35.5,0.28,0.3,5.26,19.4,3.1,0.12,82,9.9,,2.03,0.42,4.8,,,,10,,,,,90,,,,,,90,,,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15MFC30-8,8,39,0.37,0.4,4.4,17.7,5.7,0.14,82,9,,1.85,0.5,5.6,,,,10,,,,,87,,,,,,87,,,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NAC30-4,4,35,0.3,0.32,5.65,18.3,3.1,0.12,82,10.8,,1.91,0.42,4.8,,,,10,,,,,88.5,,,,,,88.5,,,,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NAC30-8,8,35.5,0.37,0.39,6,17.7,5.7,0.14,82,10.8,,1.86,0.4,5.9,,,,10,,,,,85.5,,,,,,85.5,,127,,,,,,,,,,,,,30.5,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NBAC30-4,4,33,0.29,0.31,4.4,21,3.1,0.12,82,10.6,,2.2,0.5,4.7,,,,10,,,,,88,,,,,,88,,127,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NBAC30-8,8,35.5,0.37,0.39,6,17.7,5.7,0.14,82,10.8,,1.86,0.4,5.9,,,,10,,,,,85.5,,,,,,85.5,,,150,,,,,,,,,,,,30.5,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NRX2C30-4,4,36,0.29,0.31,4.53,18.6,3.1,0.12,82,9.7,,1.99,0.5,4.7,,,,10,,,,,89,,,,,,89,,,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NRX2C30-8,8,39,0.36,0.4,4.18,16.9,5.9,0.14,82,9.2,,1.8,0.5,5.8,,,,10,,,,,86,,,,,,86,,,150,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NRXC30-4,4,41,0.29,0.31,5.3,16.7,3.1,0.12,82,8.6,,1.75,0.42,4.7,,,,10,,,,,91,,,,,,91,,,,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15NRXC30-8,8,38,0.33,0.35,4.8,20.7,5.7,0.14,82,8.1,,2.17,0.4,5.6,,,,10,,,,,88,,,,,,88,,127,,,,,,,,,,,,,30.5,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15SFCR-00,,21,,,2.7,41.8,,,178,62,,0.93,0.48,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15SFCR39-4,4,31.5,0.33,0.34,7.9,47.7,3.5,0.88,178,24,,1.06,0.6,7,,,,11,,,,,89.5,,,,,,89.5,,,,,,,,,,,,,,,38.5,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB15SFCR39-8,8,31,0.42,0.45,6.46,51,6.2,1.3,178,23.2,,1.13,0.7,7.9,,,,10,,,,,87,,,,,,87,,203.2,,,,,,,,,,,,,38.5,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16FRPC25-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFC25-4,4,35,0.34,0.39,2.76,32.7,3.2,0.56,124,13.8,,1.5,1.1,5,,,,9,,,,,89.5,,,,,,89.5,,,,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFC25-4-Coax,4,36,0.31,0.35,2.6,31.3,3.2,0.31,119,12.5,,1.56,1.1,5.1,,,,9.3,,,,,90,,,,,,90,,,,,,,,,,,,,,,25.4,14.3,,5,,,,,,,,,,12.4,1.2,1.5,,,,,,,,,,,,,,,
SB Acoustics,SB16PFC25-8,8,38,0.4,0.48,2.5,27,5.6,0.77,124,13.8,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFC25R-4,,35,0.34,0.39,2.76,32.7,,0.56,124,13.8,,1.5,1.1,5,,,,9,,,,,89.5,,,,,,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFC25R-4 COAX,4,36,0.31,0.35,2.6,31.3,3.2,0.31,119,12.5,,1.56,1.1,5.1,,,,9.3,,,,,90,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFC25R-8,8,38,0.4,0.48,2.5,27,5.6,0.77,124,13.8,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFCR-00,,22,,,4.4,30,,,124,38,,1.4,1.2,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFCR25-4,4,35,0.34,0.39,2.76,32.7,3.2,0.56,124,13.8,,1.5,1.1,5,,,,9,,,,,89.5,,,,,,89.5,,,176,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB16PFCR25-8,8,38,0.4,0.48,2.5,27,5.6,0.77,124,13.8,,1.25,1.4,6.2,,,,9,,,,,87,,,,,,87,,,176,,,,,,,,,,,,25.4,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB17CAC35-4,4,29.5,0.29,0.31,4.7,37.8,3.1,0.13,118,15.2,,1.91,0.6,5.3,,,,11,,,,,90,,,,,,90,,152.4,171,,,,,,,,,,,,35.5,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB17CRC35-04,4,31.5,0.32,0.35,4.32,35.5,3.1,0.13,118,14.2,,,0.65,5,,,,11,,,,,90,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB17CRC35-08,8,28,0.34,0.37,3.9,48,5.7,0.15,118,13.3,,,0.6,6,,,,11,,,,,87,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB17CRC35-4,4,31.5,0.32,0.35,4.32,35.5,3.1,0.13,118,14.2,,1.8,0.65,5,,,,11,,,,,90,,,,,,90,,152.4,171,,,,,,,,,,,,35.5,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Acoustics,SB17CRC35-8,8,28,0.34,0.37,3.9,48,5.7,0.15,118,13.3,,2.43,0.6,6,,,,11,,,,,87,,,,,,87,,152.4,171,,,,,,,,,,,,35.5,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
