manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Accuton,C220-11-227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C220-12-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C220-6-221,,26.3,0.4,0.42,7.1,86.2,6.3,0.83,224,30.4,,1.2,,8.7,5,,,,,,,,88,,,,,,88,,,220,,,105,,191,,,,,120,42,38,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,
Accuton,C220-6-222,,29.5,0.26,0.27,5.61,74,7.23,0.37,224,28,,1.04,,11.7,6,,,,,,,,93,,,,,,93,,,220,,,112.5,,191,,,,,120,49.5,55,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,
Accuton,C220-6-227,,27,0.32,0.34,5.96,79.6,5.6,0.23,224,31.2,,1.12,,9.3,6,,,,,,,,89,,,,,,89,,,220,,,109,,,,,,,87,46,55,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,
Accuton,C25-4-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C25-4-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C25-4-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,28,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,
Accuton,C25-6-012,,1037,0.52,1.99,0.7,,6.2,0.03,5.94,0.23,,0.141,,2.35,0.6,,,,,,,,90,,,,,,90,,,,,,57,,,,,,,,,16.4,,,,,,,,82,82,,64,64,,,,,,,,,,,,,,,,,,
Accuton,C25-6-013,,1294,0.88,2.13,1.5,,6.46,0.03,5.94,0.23,,0.066,,2.47,0.1,,,,,,,,92,,,,,,92,,,,,,57,,,,,,,,,16.4,,,,,,,,82,82,,64,64,,,,,,,,,,,,,,,,,,
Accuton,C25-6-158,,905,0.73,0.97,2.87,,5.69,0.02,5.94,0.28,,0.235,,3.27,0.9,,,,,,,,92.5,,,,,,92.5,,,57.6,,,28,,,,,,,,,,,,,25,,,,58,,,58,,,,,,,,,,,,,,,,,,,
Accuton,C30-4-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C30-4-358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,28,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,
Accuton,C30-6-024,,942,0.75,1.19,2.04,,6.31,0.03,8.55,0.49,,0.073,,3.64,0.5,,,,,,,,93,,,,,,93,,,,,,57,,,,,,,,,19.4,,,,,,,,82,82,,64,64,,,,,,,,,,,,,,,,,,
Accuton,C30-6-358,,826,0.71,0.85,4.5,,5.23,0.01,8.55,0.39,,0.145,,3.98,0.8,,,,,,,,93.5,,,,,,93.5,,,57.6,,,,,,,,,,,,,,,,30,,,,58,,,58,,,,,,,,,,,,,,,,,,,
Accuton,C51-6-286,,581,1.21,1.61,4.86,,5.6,0,24,0,,0,,,0.8,,,,,,,,93,,,,,,93,,,,,,87,,86,,,,,,,,,,,51,,,,,,,86,,,,,,,,,,,,,,,,,,,
Accuton,C90-6-078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C90-6-079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C90-6-724,,82.58,0.6,0.67,5.13,5.1,5.44,0.13,81,8.45,,0.44,,5.95,3,,,,,,,,89,,,,,,89,,,124,,,56,,,,,,,,,,,,,,,,,124,,,124.5,,,,,,,,,,,,,,,,,,,
Accuton,DSP-192-4-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,P173,,41,0,0,0,24,0,0,130,15,,1.01,,0,10,,,,,,,,0,,,,,,0,,,173,,,62,,,,,,,,,,,,,,,,,,,,145.6,,,,,,,,,,,,,,,,,,,
Accuton,P220,,41,0,0,0,26.5,0,0,224,23.4,,0.64,,0,11,,,,,,,,0,,,,,,0,,,220,,,76,,191,,,,,,,,,,,,,,,,,,190.5,,,,,,,,,,,,,,,,,,,
Accuton,P280,,18,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,S220-11-221,11,22.1,,,,,,,227,,,,,,,,,,,5,,,,,,,,,,,215.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,S220-11-221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,S220-12-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,S220-6-221,,22.1,0.37,0.39,5.73,112.9,5.9,0.81,224,32.8,,1.58,,8.28,5,,,,,,,,88,,,,,,88,,,220,,,105,,191,,,,,120,42,38,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,
Accuton,S280-18-282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,S280-6-282,,22.8,0.26,0.27,4.91,185,7.1,0.68,408,62.5,,0.78,,15.3,6,,,,,,,,91,,,,,,91,,,280,,,131.95,,,,,,,120,49.5,55,,,,,,,,,,,251.2,,,,,,,,,,,,,,,,,,,
Accuton,SP1-OCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,SP1-OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,SP2-OCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,LD180CR04,4,46,0.32,0.35,3.94,24.3,3.6,0.58,,18.2,,0.66,,7.2,7.5,,,,,,,,93,150,,,,,93,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,SD20ND04F,4,,,,,,,0.008,,,,,,,,,,,,,,,93,100,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,SD28ND04RD,4,,,,,,,0.003,,,,,,,,,,,,,,,98,100,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atohm,WSD20DND04F,4,1350,,,2.95,,3.4,0.03,,0.16,0.16,,,,0.25,,,,,,,,97,100,,,,,97,,120,120,,,,,,,,,,,,20,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,13LB25AL,,78,0.24,0.25,4.67,,,0.365,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,AM130Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,AP100ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,AP1707G,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,hm100c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,hm130c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,hm170c0,8,42,0.32,0.35,4.16,,6.3,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,hm170z18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,hm210c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,HT130G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,pr170m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,TM020J7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,TM025F7,8,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,tw025a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audax,tw025a1-12x9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
